ClassIdx,ClassName,Mean,Std,Threshold,Samples
0,Abraxas sylvata,8.456172996097141,1.2366388186678192,5.36,9
1,Abrostola tripartita,12.693385124206543,1.1483987385484853,9.82,3
2,Acasis viretata,11.159329028356643,1.661890764518868,7.0,21
3,Acentria ephemerella,11.11053010395595,1.7799917177260836,6.66,7
4,Acleris forsskaleana,12.40900839292086,0.6996706293130118,10.66,13
5,Acleris holmiana,8.041685104370117,0.0,8.04,1
6,Acleris hyemana,14.323021411895752,0.38114023208618164,13.37,2
7,Acleris laterana,8.830982685089111,0.4803643226623535,7.63,2
8,Acleris variegana,12.424647808074951,0.22438573837280273,11.86,2
9,Acontia trabealis,10.22410339779324,1.485121969466375,6.51,9
10,Acronicta aceris,12.965150781111284,1.5140169251578717,9.18,110
11,Acronicta alni,7.350100994110107,0.0,7.35,1
12,Acronicta auricoma,11.587079377009951,2.2535038793629565,5.95,29
13,Acronicta cuspis,10.750011519952254,1.3475869907791638,7.38,44
14,Acronicta leporina,10.383823335170746,1.8085566425649244,5.86,16
15,Acronicta megacephala,10.696961356903696,1.4498041400510557,7.07,591
16,Acronicta psi,8.919865345954895,1.225789284688118,5.86,40
17,Acronicta rumicis,9.47671070098877,1.790276191332159,5.0,5
18,Acronicta strigosa,10.280303955078125,0.0915212631225586,10.05,2
19,Aethalura punctulata,9.553169548511505,1.3801380238645362,6.1,8
20,Agapeta hamana,12.29613116749546,1.5719761822150504,8.37,171
21,Agriopis aurantiaria,11.363609836708685,1.562497828168398,7.46,161
22,Agriopis marginaria,8.35366568845861,0.908739966645199,6.08,17
23,Agriphila latistria,12.669930198524572,1.423423653701232,9.11,79
24,Agrochola circellaris,8.215142250061035,0.0,8.22,1
25,Agrochola helvola,9.891010072496202,0.4271995512088159,8.82,9
26,Agrochola litura,6.481911500295003,1.1509420664118084,3.6,3
27,Agrochola lychnidis,7.106988906860352,0.020392417907714844,7.06,2
28,Agrochola macilenta,5.517707347869873,0.0,5.52,1
29,Agrotera nemoralis,7.221292495727539,0.0,7.22,1
30,Agrotis clavis,8.66327428817749,1.4885064415113713,4.94,5
31,Agrotis exclamationis,8.145787477493286,1.5150251152256569,4.36,16
32,Agrotis puta,0,4.0,-10.0,0
33,Agrotis segetum,5.862480481465657,0.6855480156713468,4.15,3
34,Agrotis vestigialis,11.560830507705461,2.281927524331081,5.86,67
35,Alcis repandata,10.353746707098825,1.5937688093026616,6.37,70
36,Aleimma loeflingiana,10.747826671600341,1.5642627620303684,6.84,10
37,Allophyes oxyacanthae,9.955469608306885,1.430437061601338,6.38,32
38,Alucita hexadactyla,9.989870071411133,0.0,9.99,1
39,Amphipyra pyramidea,10.070920276641846,1.1532383230643952,7.19,5
40,Amphipyra tragopoginis,10.99981415271759,1.3225424681093474,7.69,24
41,Anania coronata,11.773660659790039,1.5209846926201807,7.97,21
42,Anania lancealis,10.788705650128817,1.8367044910001127,6.2,38
43,Anania stachydalis,8.839400291442871,0.0,8.84,1
44,Anania verbascalis,9.02910041809082,0.0,9.03,1
45,Anarta trifolii,6.820939389142123,1.226156140212887,3.76,11
46,Ancylis apicella,11.6523118019104,0.5724806785583496,10.22,2
47,Angerona prunaria,8.470738410949707,0.0,8.47,1
48,Anticollix sparsata,8.350454568862915,1.1583402863304415,5.45,6
49,Antitype chi,9.548143068949381,0.5072942277496162,8.28,9
50,Apamea anceps,11.015046119689941,0.0,11.02,1
51,Apamea illyria,9.86737060546875,0.8207778930664062,7.82,2
52,Apamea lateritia,7.510810375213623,0.0,7.51,1
53,Apamea monoglypha,7.367233395576477,1.1580185019694844,4.47,12
54,Aplocera efformata,9.008113861083984,0.24472667166659015,8.4,5
55,Apoda limacodes,10.035057215023201,1.6216868311033963,5.98,593
56,Apterogenum ypsillon,8.729626019795736,0.38079463351541404,7.78,3
57,Archips oporana,8.629055976867676,1.3778445064694438,5.18,24
58,Archips podana,9.72998015085856,1.869226317360803,5.06,36
59,Archips xylosteana,13.473321808709038,1.1938433106082535,10.49,18
60,Arctia caja,9.448553836374536,0.9193357770886493,7.15,413
61,Arctornis l-nigrum,10.936789512634277,0.0,10.94,1
62,Arenostola phragmitidis,8.46591374874115,1.547241533776094,4.6,20
63,Arichanna melanaria,11.448415756225586,0.6927433114046737,9.72,4
64,Asteroscopus sphinx,9.58647679105217,1.702944360208561,5.33,162
65,Asthena albulata,8.816327095031738,0.0,8.82,1
66,Atethmia centrago,11.423737103821802,2.3834301794272474,5.47,61
67,Athetis pallustris,6.530251979827881,0.0,6.53,1
68,Atolmis rubricollis,8.265500726370975,1.7791614316213296,3.82,29
69,Autographa gamma,11.540566539189902,1.7606430303501839,7.14,166
70,Autographa pulchrina,12.724340098244804,1.0036941558664911,10.22,14
71,Biston betularia,9.991667662142886,1.0686631237735502,7.32,581
72,Biston strataria,4.0652559995651245,1.5095826387405396,0.29,2
73,Brachylomia viminalis,9.457449913024902,0.696644465523433,7.72,4
74,Bupalus piniaria,5.145941336949666,0.9110495726442729,2.87,21
75,Cabera exanthemata,8.16351960629833,1.3130744234324023,4.88,49
76,Cabera pusaria,10.334679373379412,1.328124435487611,7.01,145
77,Calamia tridens,11.47843197117681,0.8976109641223833,9.23,46
78,Calamotropha paludella,10.72657273597076,2.5460663883153076,4.36,119
79,Calliteara pudibunda,9.900691777421807,1.162050288460107,7.0,649
80,Campaea margaritaria,10.165095698158696,0.8490224259404533,8.04,53
81,Camptogramma bilineata,8.40069126089414,2.386048812006675,2.44,24
82,Caradrina morpheus,4.441250880559285,1.0097302500669998,1.92,3
