ClassIdx,ClassName,Mean,Std,Threshold
0,Araneae,15.91506405943443,4.345301855592318,5.05
1,Coleoptera,14.545161862795764,3.5690403308976077,5.62
2,Diptera Brachycera,15.465831999114302,3.8319924279088777,5.89
3,Diptera Nematocera,12.235719872985095,2.4171826224087622,6.19
4,Diptera Tipulidae,13.347137861492254,3.8161557606797554,3.81
5,Diptera Trichocera,10.86671615404089,2.594293309572696,4.38
6,Ephemeroptera,18.065714606894577,3.4130795129546,9.53
7,Hemiptera,13.180433200678417,3.5580424133948605,4.29
8,Hymenoptera Other,10.883834661718188,2.6415627644582136,4.28
9,Hymenoptera Vespidae,19.97800952320063,4.272553573325306,9.3
10,Lepidoptera Macros,16.352057785327744,3.48594282705747,7.64
11,Lepidoptera Micros,14.910137678309413,3.1124281505265614,7.13
12,Neuroptera,15.773783406596309,3.427562698898665,7.2
13,Opiliones,14.82492129190972,3.7060807313603035,5.56
14,Trichoptera,14.375705789132516,2.2042117990586045,8.87
15,Vegetation,18.56831085668506,3.7744059900276032,9.13
