ClassIdx,ClassName,Mean,Std,Threshold
0,Araneae,12.807320597403475,3.4619942280105014,4.15
1,Coleoptera,12.088512906654623,2.7887947471990913,5.12
2,Diptera Brachycera,15.81278483239324,4.476845183141925,4.62
3,Diptera Nematocera,13.686755706107474,3.2234845376946697,5.63
4,Diptera Tipulidae,12.355357887185932,2.539950507206253,6.01
5,Diptera Trichocera,10.573806631967765,2.2010189362240067,5.07
6,Ephemeroptera,20.617275657403727,3.903138915877635,10.86
7,Hemiptera,11.706388392090886,2.7836912690828983,4.75
8,Hymenoptera Other,11.101062917418597,2.3901553923354446,5.13
9,Hymenoptera Vespidae,16.027725016817133,3.6693414465070666,6.85
10,Lepidoptera Macros,16.616017731701625,4.681531391037882,4.91
11,Lepidoptera Micros,16.038396302847364,3.7753575466422467,6.6
12,Neuroptera,17.090070019240528,3.4416901977237817,8.49
13,Opiliones,14.026614907596793,3.0101814291943643,6.5
14,Trichoptera,10.91622317372592,1.6202192690899,6.87
15,Vegetation,10.973903183503584,3.7095102768900547,1.7
